account_token,bank_code,amount,reference_token,status,errors
ACC-a69e2e84,044,198457.7,REF-700e3505,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-a827ea6b,044,142408.01,REF-38bd88d0,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-d9d26dba,058,100000000.0,REF-d86c4223,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-77a767cd,044,96340.1,REF-62bd3bd7,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-2fe027ef,070,110151.56,REF-55fef825,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-ac9d651d,001,277846.06,REF-9b2d5b46,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-a809befa,214,154295.89,REF-69ad58d7,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-8261ea8d,,391634.82,REF-76196591,Invalid,"[{'type': 'iban_format_or_checksum', 'message': 'Invalid IBAN format or checksum'}]"
ACC-cddea99c,214,302605.67,REF-bde54b2d,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-881eb612,002,189919.62,REF-a3c8e980,Invalid,"[{'type': 'bank_002_account_validation', 'message': 'Account number failed validation for bank 002'}]"
ACC-ffd1ec31,232,418216.6,REF-b9655dbc,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-cb15c211,232,100000000.0,REF-d43c9b6b,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-e6b0c67d,214,105245.43,REF-43be15c3,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-0651e773,044,278322.69,REF-bc78d3a2,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-931a6add,082,-100,REF-0090d591,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-d39a15de,058,16033.62,REF-f0fe2689,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-ba9806eb,082,185996.9,REF-512b2a6e,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-a220a6eb,001,354814.99,REF-af7c3c16,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-19b32837,001,437543.66,REF-4330c246,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-c3f0ee92,070,216076.38,REF-a63034d6,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-5211cb22,003,0,REF-d03d0935,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-9e462f4e,044,21815.44,REF-fd9fdf52,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-9bef4392,082,171607.14,REF-d089a851,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-41ef28be,001,244719.11,REF-1afde2de,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-c1ec5f18,082,146313.84,REF-5923c772,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-d959386b,058,96981.69,REF-63021bae,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-59d20606,001,451871.11,REF-9b2d5b46,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-57d30f8e,082,-100,REF-dbb38b0c,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-eb14a884,082,349102.82,REF-1d1123f8,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-399e6f12,082,137730.56,REF-506f5123,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-5520aa0d,232,314657.1,REF-5c787efb,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-23f5e86c,215,-100,REF-2345e95e,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-2f663ccb,058,227012.97,REF-30357798,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-77795fc3,,441065.77,REF-3fdd96dd,Invalid,"[{'type': 'iban_format_or_checksum', 'message': 'Invalid IBAN format or checksum'}]"
ACC-ffcc9f19,001,495252.31,REF-3a7e81be,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-d490299f,002,-100,REF-b099d379,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-7c4749a5,232,498339.65,REF-bb899913,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-771cc13e,001,123576.08,REF-c9b36d12,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-a7290fd8,002,495050.55,REF-1b18890c,Invalid,"[{'type': 'bank_002_account_validation', 'message': 'Account number failed validation for bank 002'}]"
ACC-668c8646,002,265262.32,REF-25e2e77f,Invalid,"[{'type': 'bank_002_account_validation', 'message': 'Account number failed validation for bank 002'}]"
ACC-3fdd6ab7,214,432879.03,REF-f724ad40,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-23a06144,001,355553.64,REF-fbce3e1c,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-ac59175b,082,253033.82,REF-2a400073,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-18353314,003,281977.34,REF-d9773e8e,Invalid,"[{'type': 'bank_003_account_validation', 'message': 'Account number failed validation for bank 003'}]"
ACC-4d39b251,001,311837.44,REF-4f9b1db4,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-4f7bf7b5,001,243227.07,REF-9b2d5b46,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-bb4e4108,001,-100,REF-9bb3b0bb,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-e061114a,044,428603.5,REF-9ef9db7b,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-ae624d6c,058,247512.28,REF-4911d962,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-5fa0e069,232,100000000.0,REF-1b76ef6f,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-caa43b1f,044,177132.68,REF-e76faa4e,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-76d67557,001,325737.96,REF-10255922,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-64eb1521,001,141806.04,REF-6825bd40,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-a5711b68,001,65539.16,REF-eb0d8c70,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-5047c52d,001,279397.09,REF-ef0d9304,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-cf6c5c14,001,169359.35,REF-526ae92a,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-89850cf9,001,77501.41,REF-6f9e448a,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-b6b4796a,082,-100,REF-f1e3148c,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-6eccd9bc,214,100000000.0,REF-ea385668,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-8cb003e7,070,446913.71,REF-4a8098c8,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-06f66797,001,39180.48,REF-fb21f122,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-e49309a0,,178955.97,REF-dae33330,Invalid,"[{'type': 'iban_format_or_checksum', 'message': 'Invalid IBAN format or checksum'}]"
ACC-6ebd1ee0,214,0,REF-0e0f8a56,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-cef1f9e8,001,416849.35,REF-9e2436c3,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-eaa71579,001,413156.53,REF-9bded8e2,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-4c22ef0a,058,199546.46,REF-6dec980c,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-a4ab8d64,001,342781.04,REF-a2e13311,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-ff9abd7a,002,202096.44,REF-1965a9f2,Invalid,"[{'type': 'bank_002_account_validation', 'message': 'Account number failed validation for bank 002'}]"
ACC-2d0bf33f,082,-100,REF-ad56fdd0,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-28590cef,070,90266.98,REF-4527582d,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-330a76f2,,20624.31,REF-b10ecd7a,Invalid,"[{'type': 'iban_format_or_checksum', 'message': 'Invalid IBAN format or checksum'}]"
ACC-59047353,070,368731.06,REF-b441650f,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-79550471,082,100000000.0,REF-77f9ba29,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-1240da08,070,476033.24,REF-589aeea7,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-cba5a9cd,058,117588.84,REF-180aa7f7,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-51c2645e,058,332033.71,REF-25e4390f,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-433cf78e,,452426.66,REF-73dea0ad,Invalid,"[{'type': 'iban_format_or_checksum', 'message': 'Invalid IBAN format or checksum'}]"
ACC-6698955f,003,80848.57,REF-f1801f51,Invalid,"[{'type': 'bank_003_account_validation', 'message': 'Account number failed validation for bank 003'}]"
ACC-fe1b6b4a,044,156197.37,REF-3db5dcd2,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-633444e3,,161941.95,REF-c8ddb9f4,Invalid,"[{'type': 'iban_format_or_checksum', 'message': 'Invalid IBAN format or checksum'}]"
ACC-209e1a0f,232,397460.72,REF-a3d2f5b6,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-6c2ff093,,341750.22,REF-ddbdf55b,Invalid,"[{'type': 'iban_format_or_checksum', 'message': 'Invalid IBAN format or checksum'}]"
ACC-8670644e,070,-100,REF-0482f080,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-f46a211e,232,93578.5,REF-99860585,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-dc07ed9d,003,20060.46,REF-408670ab,Invalid,"[{'type': 'bank_003_account_validation', 'message': 'Account number failed validation for bank 003'}]"
ACC-1d817f43,082,-100,REF-c6437c01,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-a57e689c,002,0,REF-a9c64eca,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-ed6f6b1e,001,338686.51,REF-454d5c0d,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-e93d3c97,002,323039.77,REF-8b6995bf,Invalid,"[{'type': 'bank_002_account_validation', 'message': 'Account number failed validation for bank 002'}]"
ACC-4f778f2d,070,193055.58,REF-39468337,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-8cdcf7e9,070,430882.01,REF-b18eceb7,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-a2e7b3cb,,401717.34,REF-0b967de3,Invalid,"[{'type': 'iban_format_or_checksum', 'message': 'Invalid IBAN format or checksum'}]"
ACC-1d9fdb45,215,146151.86,REF-7a68824b,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-66907d4d,214,436421.28,REF-c873c7aa,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-260f9669,001,44100.92,REF-56b83f49,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-198d6aab,082,274158.57,REF-6f7ef703,Invalid,"[{'type': 'alphanumeric_format', 'message': 'Account number must be alphanumeric (unless IBAN)'}]"
ACC-07e12779,001,190671.34,REF-68ca3f37,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-59dc1734,001,239780.2,REF-b9cfdee6,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-47000cd1,214,294000.93,REF-aca6e99f,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-03d4dfac,232,270280.94,REF-869b3f8d,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-f1d2a4aa,001,466001.2,REF-901148d7,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-23716f47,058,100000000.0,REF-1bd6842e,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-1b9a9cca,001,452835.9,REF-6fd020da,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-ac17d754,001,458645.96,REF-9957446b,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-af387ebd,002,5949.72,REF-d43c8e8b,Invalid,"[{'type': 'bank_002_account_validation', 'message': 'Account number failed validation for bank 002'}]"
ACC-af2e1756,001,45847.68,REF-80bfe190,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-8e8a2c5e,001,51166.42,REF-31e9664e,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-f8c37b3a,058,11876.02,REF-a651a476,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-175ad88f,058,38938.19,REF-35526a02,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-5ca0d163,002,358847.9,REF-21c63655,Invalid,"[{'type': 'bank_002_account_validation', 'message': 'Account number failed validation for bank 002'}]"
ACC-14ba198f,232,379522.76,REF-d8e26e42,Invalid,"[{'type': 'length_error', 'message': 'Account number must be 8-12 characters (unless IBAN)'}]"
ACC-4514ef6a,044,-100,REF-8a58c9eb,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-e79dc303,214,0,REF-4f2a2903,Invalid,"[{'type': 'amount_validation', 'message': 'Invalid amount'}]"
ACC-57af7683,001,388300.41,REF-62b3dbd1,Invalid,"[{'type': 'bank_001_account_validation', 'message': 'Account number failed validation for bank 001'}]"
ACC-8a1b0809,,154483.77,REF-edc1b10e,Invalid,"[{'type': 'iban_format_or_checksum', 'message': 'Invalid IBAN format or checksum'}]"
ACC-eecca0c9,002,83639.75,REF-0a0cc4a7,Invalid,"[{'type': 'bank_002_account_validation', 'message': 'Account number failed validation for bank 002'}]"
